,business_id,category,star,BusinessAcceptsCreditCards,BusinessAcceptsBitcoin,RestaurantsPriceRange2,BikeParking,BusinessParking.garage,BusinessParking.street,BusinessParking.validated,BusinessParking.lot,BusinessParking.valet,RestaurantsDelivery,WiFi,ByAppointmentOnly,WheelchairAccessible,DogsAllowed,RestaurantsTakeOut,OutdoorSeating,Smoking,Alcohol,HappyHour,HasTV,CoatCheck,GoodForKids,Caters,RestaurantsGoodForGroups,RestaurantsReservations,GoodForMeal.dessert,GoodForMeal.latenight,GoodForMeal.lunch,GoodForMeal.dinner,GoodForMeal.brunch,GoodForMeal.breakfast,DriveThru,RestaurantsAttire,Ambience.touristy,Ambience.hipster,Ambience.romantic,Ambience.divey,Ambience.intimate,Ambience.trendy,Ambience.upscale,Ambience.classy,Ambience.casual,NoiseLevel,RestaurantsTableService,HairSpecializesIn.straightperms,HairSpecializesIn.coloring,HairSpecializesIn.extensions,HairSpecializesIn.africanamerican,HairSpecializesIn.curly,HairSpecializesIn.kids,HairSpecializesIn.perms,HairSpecializesIn.asian,BestNights.monday,BestNights.tuesday,BestNights.friday,BestNights.wednesday,BestNights.thursday,BestNights.sunday,BestNights.saturday,GoodForDancing,Music.dj,Music.background_music,Music.no_music,Music.jukebox,Music.live,Music.video,Music.karaoke,AcceptsInsurance,BYOBCorkage,Corkage,BusinessParking,AgesAllowed,BYOB
0,xF3Fjf89nwYas8WElCGDEg,"Venues & Event Spaces, Wedding Planning, Caterers, Event Planning & Services",4.5,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7PH6BaZkNvpTaF5fgY1lRw,"Florists, Wedding Planning, Flowers & Gifts, Event Planning & Services, Shopping",3.0,True,,3,True,False,False,False,False,False,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,axDSt4EzLa3y0DobpMhwGg,"Private Tutors, Education, Wedding Planning, Event Planning & Services, Specialty Schools, Team Building Activities, Party & Event Planning, DJs",5.0,True,False,,,,,,,,,u'no',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,WsH8d3hxX_UK6EI6To6u0A,"Bridal, Fashion, Wedding Planning, Event Planning & Services, Shopping, Formal Wear",3.5,True,False,2,True,False,False,False,True,False,,,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,BVaNoKbZx7MBjIYWQLtDmA,"Event Planning & Services, Wedding Planning, Caterers, Food, Food Delivery Services",4.0,True,False,,,,,,,,,u'no',,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,hZMBCaoZRS8naNfUaobzJA,"Wedding Planning, Airport Shuttles, Taxis, Limos, Automotive, Town Car Service, Transportation, Nightlife, Event Planning & Services, Hotels & Travel, Party Bus Rentals, Photographers",4.5,True,True,,False,,,,,,,u'free',True,False,,,False,u'no',u'none',False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,FwjenVA_E_BnKUI2ayc-ow,"Shopping, Flowers & Gifts, Cards & Stationery, Office Equipment, Event Planning & Services, Gift Shops, Arts & Crafts, Wedding Planning",4.0,True,,2,True,False,False,False,True,False,,u'free',,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,cvOfc8tvvxgHZVvUDcLA3g,"Shopping, Wedding Planning, Florists, Flowers & Gifts, Event Planning & Services",4.5,True,,2,,False,False,False,False,False,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,7BAQHX9-qEZp4dqNU-J-lQ,"Caterers, Food Delivery Services, Wedding Planning, Event Planning & Services, Food",4.5,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
